 profundidade, Hcp_real, Hcp_imag, Hcx_real, Hcx_imag, rho
 -0.8899999618530273E+01, -0.7607173321984183E-01, -0.1554419714732658E-04,  0.1544647050912282E+00, -0.2968994610049792E-04, 100.0
 -0.8800000190734863E+01, -0.7607177244627607E-01, -0.1627325224938369E-04,  0.1544646243493638E+00, -0.3109209380682128E-04, 100.0
 -0.8699999809265137E+01, -0.7607181329145275E-01, -0.1707366877974312E-04,  0.1544645402922413E+00, -0.3263199027411635E-04, 100.0
 -0.8600000381469727E+01, -0.7607185587163044E-01, -0.1795584846126782E-04,  0.1544644526825071E+00, -0.3432974091283702E-04, 100.0
 -0.8500000000000000E+01, -0.7607190031601845E-01, -0.1893228240498794E-04,  0.1544643612564039E+00, -0.3620949350675719E-04, 100.0
 -0.8399999618530273E+01, -0.7607194676883326E-01, -0.2001810046631496E-04,  0.1544642657195752E+00, -0.3830050211874097E-04, 100.0
 -0.8300000190734863E+01, -0.7607199539179652E-01, -0.2123180317469528E-04,  0.1544641657419678E+00, -0.4063854500012096E-04, 100.0
 -0.8199999809265137E+01, -0.7607204636720698E-01, -0.2259625109640337E-04,  0.1544640609515767E+00, -0.4326784186820714E-04, 100.0
 -0.8100000381469727E+01, -0.7607209990173305E-01, -0.2414002371883793E-04,  0.1544639509266992E+00, -0.4624368834135115E-04, 100.0
 -0.8000000000000000E+01, -0.7607215623118255E-01, -0.2589931936364633E-04,  0.1544638351862150E+00, -0.4963614100950079E-04, 100.0
 -0.7900000095367432E+01, -0.7607221562654623E-01, -0.2792066496639725E-04,  0.1544637131772467E+00, -0.5353527631256402E-04, 100.0
 -0.7800000190734863E+01, -0.7607227840179730E-01, -0.3026486869765873E-04,  0.1544635842592480E+00, -0.5805886667164002E-04, 100.0
 -0.7699999809265137E+01, -0.7607234492410532E-01, -0.3301293441904899E-04,  0.1544634476831473E+00, -0.6336387622840133E-04, 100.0
 -0.7599999904632568E+01, -0.7607241562747993E-01, -0.3627517430087561E-04,  0.1544633025634760E+00, -0.6966419125706439E-04, 100.0
 -0.7500000000000000E+01, -0.7607249103140667E-01, -0.4020573247657674E-04,  0.1544631478402832E+00, -0.7725891622813343E-04, 100.0
 -0.7400000095367432E+01, -0.7607257176696366E-01, -0.4502666960388297E-04,  0.1544629822257112E+00, -0.8657937754028319E-04, 100.0
 -0.7300000190734863E+01, -0.7607265861457943E-01, -0.5106983011552549E-04,  0.1544628041266870E+00, -0.9827101829833417E-04, 100.0
